GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_029814135.1	42216458	GCF_029814135.1	42241918	
GCA_026226775.1	37462578	GCF_026226775.1	37516348	
GCA_026226845.1	37462648	GCF_026226845.1	37516588	
GCA_916856725.1	29427808	GCF_916856725.1	29647588	
GCA_018829755.1	27325068	GCF_018829755.1	27338768	
GCA_018829705.1	27325008	GCF_018829705.1	27338968	
GCA_018829685.1	27324988	GCF_018829685.1	27338948	
GCA_916862695.1	29427848	GCF_916862695.1	29647268	
GCA_018829625.1	27324938	GCF_018829625.1	27338928	
GCA_001679495.1	3330928	GCF_001679495.1	3331958	
GCA_003130015.1	6499828	GCF_003130015.1	6538168	
GCA_019188745.1	27823808	GCF_019188745.1	27903388	
GCA_003130055.1	6499868	GCF_003130055.1	6535448	
GCA_019188495.1	27823568	GCF_019188495.1	28002678	
GCA_030764765.1	46392408	GCF_030764765.1	46486798	
GCA_030764825.1	46392468	GCF_030764825.1	46486618	
GCA_003129975.1	6499778	GCF_003129975.1	6538028	
GCA_003130035.1	6499838	GCF_003130035.1	6574028	
GCA_003130285.1	6500108	GCF_003130285.1	6574388	
GCA_030218125.1	43261898	GCF_030218125.1	43418608	
GCA_030405845.1	44457738	GCF_030405845.1	44608838	
GCA_003130675.1	6500488	GCF_003130675.1	6535368	
GCA_003130665.1	6500498	GCF_003130665.1	6539278	
GCA_001679485.1	3330918	GCF_001679485.1	3331428	
GCA_004570945.1	9037668	GCF_004570945.1	9093558	
GCA_015234965.1	22916808	GCF_015234965.1	22931818	
GCA_003130645.1	6500458	GCF_003130645.1	6574168	
GCA_003129965.1	6499768	GCF_003129965.1	6535408	
GCA_003130305.1	6500118	GCF_003130305.1	6535488	
GCA_001999285.1	4128578	GCF_001999285.1	4142198	
GCA_004793515.1	9299388	GCF_004793515.1	9333538	
GCA_030764845.1	46392488	GCF_030764845.1	46486818	
GCA_030764925.1	46392568	GCF_030764925.1	46486638	
GCA_001838635.1	3595458	GCF_001838635.1	3651158	
GCA_019188755.1	27823828	GCF_019188755.1	27904028	
GCA_002000465.1	4131388	GCF_002000465.1	4142538	
GCA_030764865.1	46392508	GCF_030764865.1	46486838	
GCA_030764885.1	46392528	GCF_030764885.1	46486918	
GCA_019188695.1	27823768	GCF_019188695.1	28002718	
GCA_019188685.1	27823758	GCF_019188685.1	27903328	
GCA_030764905.1	46392548	GCF_030764905.1	46487138	
GCA_000242295.1	327488	GCF_000242295.1	329218	
GCA_001815355.1	3571968	GCF_001815355.1	3622368	
GCA_000771875.1	1368658	GCF_000771875.1	1487648	
GCA_001814055.1	3570648	GCF_001814055.1	3620428	
GCA_001810345.1	3566868	GCF_001810345.1	3616388	
GCA_001810545.1	3567058	GCF_001810545.1	3616108	
GCA_019188585.1	27823648	GCF_019188585.1	28001258	
GCA_025447635.1	36320748	GCF_025447635.1	36438348	
GCA_030765005.1	46392648	GCF_030765005.1	46487198	
GCA_030763375.1	46391068	GCF_030763375.1	46486778	
GCA_001811665.1	3568148	GCF_001811665.1	3618088	
GCA_019188525.1	27823608	GCF_019188525.1	28003058	
GCA_019188645.1	27823728	GCF_019188645.1	28002238	
GCA_015235525.1	22917348	GCF_015235525.1	22931238	
GCA_030763395.1	46391078	GCF_030763395.1	46487098	
GCA_001678475.1	3328998	GCF_001678475.1	3330188	
GCA_015235275.1	22917108	GCF_015235275.1	22931398	
GCA_019188725.1	27823788	GCF_019188725.1	27902608	
GCA_001678625.1	3329108	GCF_001678625.1	3330088	
GCA_019188605.1	27823668	GCF_019188605.1	27902508	
GCA_019188625.1	27823688	GCF_019188625.1	28003198	
GCA_001276515.1	2303568	GCF_001276515.1	2304558	
GCA_019188655.1	27823718	GCF_019188655.1	28002838	
GCA_029852755.1	42264538	GCF_029852755.1	42270198	
GCA_001838615.1	3595448	GCF_001838615.1	3649578	
GCA_002000145.1	4130978	GCF_002000145.1	4141318	
GCA_001678545.1	3329058	GCF_001678545.1	3389778	
GCA_000771895.1	1368678	GCF_000771895.1	1468838	
GCA_001837655.1	3594468	GCF_001837655.1	3648538	
GCA_001811025.1	3567538	GCF_001811025.1	3617748	
GCA_030765025.1	46392668	GCF_030765025.1	46486658	
GCA_030764985.1	46392628	GCF_030764985.1	46486938	
GCA_001678575.1	3329088	GCF_001678575.1	3330148	
GCA_001678485.1	3328978	GCF_001678485.1	3330208	
GCA_002000435.1	4131368	GCF_002000435.1	4142458	
GCA_001678555.1	3329078	GCF_001678555.1	3392638	
GCA_000466335.1	781168	GCF_000466335.1	815408	
GCA_001999335.1	4128658	GCF_001999335.1	4140618	
GCA_002000525.1	4131448	GCF_002000525.1	4140918	
GCA_019188515.1	27823588	GCF_019188515.1	27902968	
GCA_027920745.1	39806718	GCF_027920745.1	39807928	
GCA_001999265.1	4128518	GCF_001999265.1	4139278	
GCA_006228005.1	11098388	GCF_006228005.1	11386708	
GCA_006228025.1	11098428	GCF_006228025.1	11383768	
GCA_006228045.1	11098398	GCF_006228045.1	11383708	
GCA_006228105.1	11098498	GCF_006228105.1	11383868	
GCA_002000405.1	4131328	GCF_002000405.1	4141338	
GCA_006228015.1	11098448	GCF_006228015.1	11383828	
GCA_006228035.1	11098458	GCF_006228035.1	11384088	
GCA_001678635.1	3329128	GCF_001678635.1	3330168	
GCA_003261355.1	6719058	N/A	N/A	
GCA_003261475.1	6719178	GCF_003261475.1	6864218	
GCA_001956675.1	3990308	GCF_001956675.1	9083268	
GCA_021474165.1	30955158	N/A	N/A	
GCA_020221775.1	29219758	GCF_020221775.1	29340988	
GCA_006232065.1	11102918	GCF_006232065.1	11386768	
GCA_003184385.1	6591418	GCF_003184385.1	14328918	
GCA_003184405.1	6591438	GCF_003184405.1	8243738	
GCA_029623695.1	41984198	N/A	N/A	
GCA_029623715.1	41984218	N/A	N/A	
GCA_029623735.1	41984238	N/A	N/A	
GCA_028535135.1	40661118	N/A	N/A	
GCA_028535035.1	40661098	N/A	N/A	
GCA_000027305.1	28108	GCF_000027305.1	45888	
GCA_000016485.1	17288	GCF_000016485.1	37588	
GCA_008586765.1	13947258	GCF_008586765.1	14326778	
GCA_008586785.1	13947278	GCF_008586785.1	14000908	
GCA_000016465.1	17268	GCF_000016465.1	37568	
GCA_030388265.1	44357378	N/A	N/A	
GCA_000439395.1	746558	GCF_000439395.1	751378	
GCA_000241025.2	325008	GCF_000241025.1	325028	
GCA_016415125.1	24300938	N/A	N/A	
GCA_900637805.1	8123758	GCF_900637805.1	14880268	
GCA_029773955.1	42176108	N/A	N/A	
GCA_029774135.1	42176288	GCF_029774135.1	42241618	
GCA_900638075.1	8124318	N/A	N/A	
GCA_900637275.1	8123058	GCF_900637275.1	8149378	
GCA_011455275.1	17796008	GCF_011455275.1	17951328	
GCA_012221805.1	18604848	GCF_012221805.1	18659368	
GCA_002859925.1	5838788	GCF_002859925.1	9067398	
GCA_002310255.1	5025298	N/A	N/A	
GCA_002310275.1	5025318	N/A	N/A	
GCA_001712855.1	3416068	GCF_001712855.1	3421598	
GCA_900454785.1	6983368	GCF_900454785.1	14366678	
GCA_001542975.1	2853178	GCF_001542975.1	14331558	
GCA_002083245.2	5909338	GCF_002083245.2	8763128	
GCA_029653185.1	42015818	N/A	N/A	
GCA_029661945.1	42024568	N/A	N/A	
GCA_029653465.1	42016088	N/A	N/A	
GCA_029653785.1	42016418	N/A	N/A	
GCA_029655105.1	42017728	N/A	N/A	
GCA_029653365.1	42015988	N/A	N/A	
GCA_029661965.1	42024588	N/A	N/A	
GCA_029653805.1	42016428	N/A	N/A	
GCA_029654365.1	42016988	N/A	N/A	
GCA_029655685.1	42018318	N/A	N/A	
GCA_029647325.1	42009948	N/A	N/A	
GCA_029661645.1	42024278	N/A	N/A	
GCA_029654185.1	42016808	N/A	N/A	
GCA_029660665.1	42023298	N/A	N/A	
GCA_029655825.1	42018448	N/A	N/A	
GCA_029655605.1	42018228	N/A	N/A	
GCA_029653305.1	42015928	N/A	N/A	
GCA_029655625.1	42018258	N/A	N/A	
GCA_029653225.1	42015848	N/A	N/A	
GCA_029650305.1	42012938	N/A	N/A	
GCA_029682425.1	42046908	N/A	N/A	
GCA_029649325.1	42011958	N/A	N/A	
GCA_029649365.1	42011988	N/A	N/A	
GCA_029649385.1	42012008	N/A	N/A	
GCA_029649405.1	42012038	N/A	N/A	
GCA_029649425.1	42012048	N/A	N/A	
GCA_029649465.1	42012088	N/A	N/A	
GCA_029649505.1	42012128	N/A	N/A	
GCA_029649525.1	42012158	N/A	N/A	
GCA_029649545.1	42012168	N/A	N/A	
GCA_029649565.1	42012188	N/A	N/A	
GCA_029649605.1	42012228	N/A	N/A	
GCA_029649625.1	42012248	N/A	N/A	
GCA_029649645.1	42012278	N/A	N/A	
GCA_029649665.1	42012288	N/A	N/A	
GCA_029649685.1	42012308	N/A	N/A	
GCA_029649705.1	42012328	N/A	N/A	
GCA_029649765.1	42012398	N/A	N/A	
GCA_029649825.1	42012448	N/A	N/A	
GCA_029649845.1	42012468	N/A	N/A	
GCA_029650125.1	42012748	N/A	N/A	
GCA_029650185.1	42012808	N/A	N/A	
GCA_029650405.1	42013048	N/A	N/A	
GCA_029650465.1	42013088	N/A	N/A	
GCA_029651185.1	42013828	N/A	N/A	
GCA_029655125.1	42017748	N/A	N/A	
