GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900407485.1	6774948	GCF_900407485.1	6839238	
GCA_003497025.1	7326888	GCF_003497025.1	7421788	
GCA_003496925.1	7326788	GCF_003496925.1	7421628	
GCA_900408155.1	6774368	GCF_900408155.1	6839598	
GCA_004802075.1	9356168	GCF_004802075.1	9485268	
GCA_001184615.1	2025778	GCF_001184615.1	2220438	
GCA_030554775.1	45839018	GCF_030554775.1	46251138	
GCA_900044685.1	3000928	GCF_900044685.1	3065748	
GCA_004802265.1	9356318	GCF_004802265.1	9485308	
GCA_003493385.1	7323258	GCF_003493385.1	7415768	
GCA_004801995.1	9356078	GCF_004801995.1	9485748	
GCA_004802095.1	9356138	GCF_004802095.1	9484948	
GCA_003415305.1	7123498	GCF_003415305.1	7215318	
GCA_003415345.1	7123518	GCF_003415345.1	7213418	
GCA_003496805.1	7326668	GCF_003496805.1	7422428	
GCA_026155745.1	37361838	GCF_026155745.1	37420818	
GCA_026158705.1	37364828	GCF_026158705.1	37420878	
GCA_026159125.1	37365228	GCF_026159125.1	37422258	
GCA_026158815.1	37364928	GCF_026158815.1	37421098	
GCA_026159145.1	37365248	GCF_026159145.1	37422158	
GCA_900407365.1	6774568	GCF_900407365.1	6839438	
GCA_003414235.1	7122398	GCF_003414235.1	7215558	
GCA_003414465.1	7122658	GCF_003414465.1	7213898	
GCA_003414225.1	7122428	GCF_003414225.1	7215398	
GCA_003496945.1	7326808	GCF_003496945.1	7421948	
GCA_003415585.1	7123758	GCF_003415585.1	7214498	
GCA_900022505.1	3031868	GCF_900022505.1	3119828	
GCA_900022485.1	2958128	GCF_900022485.1	3054608	
GCA_900034905.1	3027978	GCF_900034905.1	3118928	
GCA_001184595.1	2025748	GCF_001184595.1	2211048	
GCA_002093195.1	4375518	GCF_002093195.1	4396428	
GCA_003493745.1	7323608	GCF_003493745.1	7415928	
GCA_029268925.1	41539178	GCF_029268925.1	41540978	
GCA_003493435.1	7323298	GCF_003493435.1	7417388	
GCA_003496895.1	7326768	GCF_003496895.1	7422508	
GCA_003496985.1	7326848	GCF_003496985.1	7421548	
GCA_900407695.1	6775388	GCF_900407695.1	6837278	
GCA_900041425.1	3026338	GCF_900041425.1	3119688	
GCA_003497005.1	7326868	GCF_003497005.1	7421468	
GCA_900408055.1	6774208	GCF_900408055.1	6836138	
GCA_003490865.1	7320728	GCF_003490865.1	7416748	
GCA_007897085.1	13088108	GCF_007897085.1	13185968	
GCA_003493525.1	7323388	GCF_003493525.1	7416768	
GCA_003415035.1	7123208	GCF_003415035.1	7215038	
GCA_003414955.2	33092108	GCF_003414955.2	33205968	
GCA_003493075.1	7322948	GCF_003493075.1	7416868	
GCA_003414515.2	33092008	GCF_003414515.2	33205888	
GCA_003414285.1	7122458	GCF_003414285.1	7214038	
GCA_900407475.1	6774708	GCF_900407475.1	6838298	
GCA_003494135.1	7324008	GCF_003494135.1	7416248	
GCA_004802395.1	9356438	GCF_004802395.1	9485028	
GCA_900407855.1	6773788	GCF_900407855.1	6836278	
GCA_004802405.1	9356458	GCF_004802405.1	9484748	
GCA_003203115.1	6618158	GCF_003203115.1	6647528	
GCA_001949875.1	3972228	GCF_001949875.1	3981978	
GCA_004802015.1	9356068	GCF_004802015.1	9485248	
GCA_001184555.1	2025738	GCF_001184555.1	2210528	
GCA_002093265.1	4375628	GCF_002093265.1	4396008	
GCA_900407865.1	6773828	GCF_900407865.1	6837198	
GCA_003493725.1	7323588	GCF_003493725.1	7416828	
GCA_003490975.1	7320838	GCF_003490975.1	7417768	
GCA_003415355.2	33092328	GCF_003415355.2	33205808	
GCA_000636075.1	1012038	GCF_000636075.1	1358388	
GCA_000636035.1	1011998	GCF_000636035.1	1358328	
GCA_003414625.2	33092048	GCF_003414625.2	33206268	
GCA_003414565.1	7122748	GCF_003414565.1	7215978	
GCA_004801985.1	9356058	GCF_004801985.1	9484568	
GCA_900029195.1	3003348	GCF_900029195.1	3065768	
GCA_014982365.1	22639798	GCF_014982365.1	22711188	
GCA_017871745.1	26145558	GCF_017871745.1	26175408	
GCA_003414745.2	33092068	GCF_003414745.2	33206168	
GCA_003494785.1	7324638	GCF_003494785.1	7417368	
GCA_017871695.1	26145498	GCF_017871695.1	26173648	
GCA_900035285.1	2980368	GCF_900035285.1	3064128	
GCA_003494495.1	7324368	GCF_003494495.1	7417668	
GCA_001298205.1	2343478	GCF_001298205.1	2376188	
GCA_900407535.1	6774928	GCF_900407535.1	6835998	
GCA_900027015.1	2957788	GCF_900027015.1	3055868	
GCA_003414475.2	33091978	GCF_003414475.2	33205728	
GCA_003490185.1	7320028	GCF_003490185.1	7427458	
GCA_900407795.1	6775428	GCF_900407795.1	6835538	
GCA_003414605.1	7122778	GCF_003414605.1	7215878	
GCA_003497065.1	7326938	GCF_003497065.1	7421888	
GCA_030554715.1	45838948	GCF_030554715.1	46250398	
GCA_030554825.1	45839088	GCF_030554825.1	46230898	
GCA_900029335.1	3013618	GCF_900029335.1	3119648	
GCA_000636055.1	1012018	GCF_000636055.1	1358528	
GCA_007896915.1	13087958	GCF_007896915.1	13185988	
GCA_900407455.1	6774808	GCF_900407455.1	6838358	
GCA_004802085.1	9356178	GCF_004802085.1	9485808	
GCA_026155635.1	37361748	GCF_026155635.1	37421538	
GCA_026155725.1	37361848	GCF_026155725.1	37421338	
GCA_003490275.1	7320138	GCF_003490275.1	7417008	
GCA_007897045.1	13088088	GCF_007897045.1	13183868	
GCA_001184445.1	2025608	GCF_001184445.1	2209768	
GCA_004153235.1	8467218	GCF_004153235.1	8541438	
GCA_900039575.1	3010758	GCF_900039575.1	3117628	
GCA_003415525.1	7123698	GCF_003415525.1	7215278	
GCA_003415565.2	33092418	GCF_003415565.2	33206408	
GCA_003414795.1	7122958	GCF_003414795.1	7213818	
GCA_003414865.1	7123038	GCF_003414865.1	7214998	
GCA_003458065.1	7287238	GCF_003458065.1	7348278	
GCA_003490605.1	7320488	GCF_003490605.1	7417628	
GCA_003494765.1	7324648	GCF_003494765.1	7416148	
GCA_007897115.1	13088148	GCF_007897115.1	13188028	
GCA_003203055.1	6618098	GCF_003203055.1	6647908	
GCA_003493205.1	7323088	GCF_003493205.1	7416588	
GCA_003490705.1	7320568	GCF_003490705.1	7415548	
GCA_003490225.1	7320088	GCF_003490225.1	7417508	
GCA_900408025.1	6774148	GCF_900408025.1	6837398	
GCA_900407995.1	6774068	GCF_900407995.1	6839778	
GCA_028895235.1	41115208	GCF_028895235.1	41170788	
GCA_900037345.1	3030848	GCF_900037345.1	3119768	
GCA_007897175.1	13088208	GCF_007897175.1	13186068	
GCA_900407555.1	6775028	GCF_900407555.1	6838118	
GCA_900407615.1	6775008	GCF_900407615.1	6836718	
GCA_900408205.1	6774488	GCF_900408205.1	6836778	
GCA_900407665.1	6775128	GCF_900407665.1	6835838	
GCA_900034935.1	3004468	GCF_900034935.1	3065808	
GCA_003493375.1	7323268	GCF_003493375.1	7416968	
GCA_003494295.1	7324158	GCF_003494295.1	7416388	
GCA_001679415.1	3330848	GCF_001679415.1	3331668	
GCA_004802295.1	9356358	GCF_004802295.1	9484688	
GCA_900031505.1	2913058	GCF_900031505.1	2928958	
GCA_001679365.1	3330808	GCF_001679365.1	3331488	
GCA_003414805.1	7123018	GCF_003414805.1	7216138	
GCA_003414505.1	7122698	GCF_003414505.1	7216118	
GCA_004802305.1	9356378	GCF_004802305.1	9484708	
GCA_002988775.1	6197528	GCF_002988775.1	6254828	
GCA_003494585.1	7324458	GCF_003494585.1	7416448	
GCA_026158805.1	37364908	GCF_026158805.1	37421418	
GCA_026159105.1	37365208	GCF_026159105.1	37422518	
GCA_026159175.1	37365288	GCF_026159175.1	37422018	
GCA_026158925.1	37365028	GCF_026158925.1	37422238	
GCA_003415115.1	7123318	GCF_003415115.1	7213518	
GCA_003414965.1	7123168	GCF_003414965.1	7213678	
GCA_004802065.1	9356148	GCF_004802065.1	9485788	
GCA_001184435.1	2025588	GCF_001184435.1	2210448	
GCA_003415385.2	33092348	GCF_003415385.2	33206248	
GCA_900034915.1	2981848	GCF_900034915.1	3063708	
GCA_901873435.1	25020958	GCF_901873435.1	25061998	
GCA_003414175.2	33092128	GCF_003414175.2	33205848	
GCA_002988275.1	6197018	GCF_002988275.1	6230138	
GCA_900407345.1	6774668	GCF_900407345.1	6839498	
GCA_026155785.1	37361888	GCF_026155785.1	37421218	
GCA_026159055.1	37365158	GCF_026159055.1	37422378	
GCA_900407835.1	6773808	GCF_900407835.1	6837918	
GCA_900407935.1	6774008	GCF_900407935.1	6838078	
GCA_003415065.2	33092268	GCF_003415065.2	33206068	
GCA_900022475.1	3001908	GCF_900022475.1	3065488	
GCA_026158845.1	37364948	GCF_026158845.1	37421958	
GCA_026158965.1	37365068	GCF_026158965.1	37421918	
GCA_003415475.1	7123678	GCF_003415475.1	7214118	
GCA_002991295.1	6200858	GCF_002991295.1	6232758	
GCA_900407825.1	6775448	GCF_900407825.1	6838818	
GCA_003490755.1	7320618	GCF_003490755.1	7415588	
GCA_900407985.1	6774088	GCF_900407985.1	6836238	
GCA_026158945.1	37365048	GCF_026158945.1	37422338	
GCA_003414395.1	7122558	GCF_003414395.1	7213978	
GCA_003414925.2	33092148	GCF_003414925.2	33206348	
GCA_003493265.1	7323138	GCF_003493265.1	7416648	
GCA_003415435.2	33092448	GCF_003415435.2	33206288	
GCA_900035265.1	2997208	GCF_900035265.1	3064848	
GCA_900036645.1	2995348	GCF_900036645.1	3064588	
GCA_900407495.1	6774888	GCF_900407495.1	6835698	
GCA_900407675.1	6775248	GCF_900407675.1	6838978	
GCA_900029875.1	2989048	GCF_900029875.1	3062908	
GCA_003492685.1	7322538	GCF_003492685.1	7416468	
GCA_001298195.1	2343458	GCF_001298195.1	2347048	
GCA_900408125.1	6774448	GCF_900408125.1	6836878	
GCA_900407875.1	6773888	GCF_900407875.1	6836398	
GCA_900408015.1	6774108	GCF_900408015.1	6836058	
GCA_900407725.1	6775368	GCF_900407725.1	6837478	
GCA_900408005.1	6774188	GCF_900408005.1	6835258	
GCA_900044695.1	3025678	GCF_900044695.1	3119588	
GCA_900407845.1	6773908	GCF_900407845.1	6838038	
GCA_900020195.1	2952768	GCF_900020195.1	3053608	
GCA_900408115.1	6774428	GCF_900408115.1	6838578	
GCA_900408035.1	6774128	GCF_900408035.1	6838758	
GCA_002987475.1	6195908	GCF_002987475.1	6230558	
GCA_001184645.1	2025788	GCF_001184645.1	2220898	
GCA_026155735.1	37361868	GCF_026155735.1	37421678	
GCA_013402015.1	20309728	GCF_013402015.1	20314228	
GCA_002988695.1	6197448	GCF_002988695.1	6231178	
GCA_900407635.1	6775148	GCF_900407635.1	6837118	
GCA_026158715.1	37364838	GCF_026158715.1	37420578	
GCA_026158655.1	37364768	GCF_026158655.1	37421898	
GCA_900407415.1	6774768	GCF_900407415.1	6839858	
GCA_900407565.1	6775068	GCF_900407565.1	6837718	
GCA_026158975.1	37365088	GCF_026158975.1	37421978	
GCA_026159025.1	37365128	GCF_026159025.1	37422098	
GCA_003414645.2	33092168	GCF_003414645.2	33205988	
GCA_026159045.1	37365168	GCF_026159045.1	37421858	
GCA_026158865.1	37364968	GCF_026158865.1	37421838	
GCA_900038065.1	2916938	GCF_900038065.1	2929388	
GCA_900034945.1	3007118	GCF_900034945.1	3065028	
GCA_900026995.1	3009578	GCF_900026995.1	3118008	
GCA_900022515.1	2964078	GCF_900022515.1	3054688	
GCA_900026985.1	3010098	GCF_900026985.1	3118028	
GCA_002988655.1	6197438	GCF_002988655.1	6254408	
GCA_026155855.1	37361978	GCF_026155855.1	37420618	
GCA_002093185.1	4375528	GCF_002093185.1	4395968	
GCA_004802435.1	9356508	GCF_004802435.1	9485048	
GCA_029268825.1	41539108	GCF_029268825.1	41541298	
GCA_004802445.1	9356518	GCF_004802445.1	9485348	
GCA_026158685.1	37364788	GCF_026158685.1	37421998	
GCA_014762515.1	22324298	GCF_014762515.1	22334238	
GCA_900022495.1	2971298	GCF_900022495.1	3062848	
GCA_002835625.1	5773108	GCF_002835625.1	5793618	
GCA_900407715.1	6775328	GCF_900407715.1	6837978	
GCA_029524075.1	41855098	GCF_029524075.1	41875238	
GCA_000833895.1	1526268	GCF_000833895.1	1529628	
GCA_030554795.1	45839038	GCF_030554795.1	46230778	
GCA_900407915.1	6774028	GCF_900407915.1	6839018	
GCA_004802005.1	9356098	GCF_004802005.1	9485768	
GCA_004802145.1	9356218	GCF_004802145.1	9485288	
GCA_002984105.1	6191328	GCF_002984105.1	6228238	
GCA_900407685.1	6775228	GCF_900407685.1	6837858	
GCA_900407805.1	6773748	GCF_900407805.1	6837758	
GCA_900408165.1	6774468	GCF_900408165.1	6839698	
GCA_002988135.1	6196868	GCF_002988135.1	6230358	
GCA_003494815.1	7324698	GCF_003494815.1	7416208	
GCA_003414205.1	7122438	GCF_003414205.1	7214538	
GCA_003414545.2	33092028	GCF_003414545.2	33205708	
GCA_003415085.1	7123308	GCF_003415085.1	7214778	
GCA_003415205.2	33092308	GCF_003415205.2	33205928	
GCA_003415175.2	33092288	GCF_003415175.2	33206188	
GCA_003415425.1	7123608	GCF_003415425.1	7214758	
GCA_003415215.1	7123418	GCF_003415215.1	7213478	
GCA_003414785.1	7122998	GCF_003414785.1	7215858	
GCA_003414815.2	33092208	GCF_003414815.2	33205908	
GCA_003414885.1	7123068	GCF_003414885.1	7216318	
GCA_003414905.1	7123078	GCF_003414905.1	7215578	
GCA_003415025.1	7123218	GCF_003415025.1	7213618	
GCA_003415095.2	33092368	GCF_003415095.2	33206368	
GCA_002986965.1	6195198	GCF_002986965.1	6230018	
GCA_900017145.1	2958448	GCF_900017145.1	3054648	
GCA_004802205.1	9356258	GCF_004802205.1	9484648	
GCA_003495765.1	7325638	GCF_003495765.1	7417928	
GCA_004802355.1	9356408	GCF_004802355.1	9484728	
GCA_900029205.1	3002088	GCF_900029205.1	3064988	
GCA_900407645.1	6775168	GCF_900407645.1	6837458	
GCA_900035275.1	3030308	GCF_900035275.1	3119728	
GCA_003414305.2	33091888	GCF_003414305.2	33205868	
GCA_900034925.1	2991788	GCF_900034925.1	3064548	
GCA_003494225.1	7324098	GCF_003494225.1	7417648	
GCA_004802235.1	9356298	GCF_004802235.1	9485828	
GCA_003414635.1	7122858	GCF_003414635.1	7213758	
GCA_026158625.1	37364728	GCF_026158625.1	37421258	
GCA_026158725.1	37364848	GCF_026158725.1	37421818	
GCA_002984765.1	6191988	GCF_002984765.1	6227738	
GCA_002988455.1	6197218	GCF_002988455.1	6230858	
GCA_003203135.1	6618178	GCF_003203135.1	6647588	
GCA_003493335.1	7323208	GCF_003493335.1	7415728	
GCA_029524095.1	41855128	GCF_029524095.1	41874938	
GCA_020731605.1	29937828	GCF_020731605.1	29957938	
GCA_007896995.1	13088028	GCF_007896995.1	13187048	
GCA_029268755.1	41539008	GCF_029268755.1	41540918	
GCA_003415255.1	7123448	GCF_003415255.1	7215378	
GCA_900027005.1	3005938	GCF_900027005.1	3065828	
GCA_003414415.2	33092228	GCF_003414415.2	33205748	
GCA_003414215.1	7122388	GCF_003414215.1	7214578	
GCA_003415105.1	7123268	GCF_003415105.1	7213558	
GCA_900407955.1	6773988	GCF_900407955.1	6835458	
GCA_900032115.1	2947328	GCF_900032115.1	3056368	
GCA_900017155.1	2978698	GCF_900017155.1	3064028	
GCA_003203015.1	6618058	GCF_003203015.1	6647508	
GCA_026155845.1	37361988	GCF_026155845.1	37420858	
GCA_900408075.1	6774248	GCF_900408075.1	6837058	
GCA_900407885.1	6773868	GCF_900407885.1	6836658	
GCA_002988425.1	6197178	GCF_002988425.1	6231258	
GCA_003414725.2	33092088	GCF_003414725.2	33206048	
GCA_900407425.1	6774728	GCF_900407425.1	6835938	
GCA_900407355.1	6774688	GCF_900407355.1	6836618	
GCA_003414115.1	7122288	GCF_003414115.1	7214698	
GCA_001184635.1	2025818	GCF_001184635.1	2222118	
GCA_900407625.1	6775188	GCF_900407625.1	6839918	
GCA_900408105.1	6774288	GCF_900408105.1	6835298	
GCA_900407505.1	6774848	GCF_900407505.1	6839078	
GCA_002093285.1	4375648	GCF_002093285.1	4394988	
GCA_002991045.1	6200588	GCF_002991045.1	6231678	
GCA_004802165.1	9356238	GCF_004802165.1	9484988	
GCA_900407405.1	6774648	GCF_900407405.1	6839298	
GCA_000833815.1	1526188	GCF_000833815.1	1529568	
GCA_029268775.1	41539078	GCF_029268775.1	41540958	
GCA_003414655.1	7122808	GCF_003414655.1	7213838	
GCA_003414995.2	33092188	GCF_003414995.2	33206228	
GCA_003203275.1	6618318	GCF_003203275.1	6647448	
GCA_002989295.1	6198058	GCF_002989295.1	6231858	
GCA_000833765.1	1526108	GCF_000833765.1	1529708	
GCA_004802285.1	9356338	GCF_004802285.1	9485008	
GCA_900407705.1	6775348	GCF_900407705.1	6836478	
GCA_003415395.1	7123558	GCF_003415395.1	7214878	
GCA_900407595.1	6774988	GCF_900407595.1	6835518	
GCA_002989905.1	6198918	GCF_002989905.1	6231978	
GCA_002989595.1	6198408	GCF_002989595.1	6231778	
GCA_000833875.1	1526248	GCF_000833875.1	1529688	
GCA_002093255.1	4375618	GCF_002093255.1	4396468	
GCA_004802365.1	9356418	GCF_004802365.1	9485328	
GCA_002986235.1	6193948	GCF_002986235.1	6229958	
GCA_001184535.1	2025718	GCF_001184535.1	2210968	
GCA_002991005.1	6200558	GCF_002991005.1	6231458	
GCA_002237715.1	4894618	GCF_002237715.1	4900008	
GCA_900407735.1	6775268	GCF_900407735.1	6837618	
GCA_002984615.1	6191848	GCF_002984615.1	6228778	
GCA_007897025.1	13088058	GCF_007897025.1	13186048	
GCA_002988155.1	6196888	GCF_002988155.1	6231038	
GCA_002990605.1	6199998	GCF_002990605.1	6234638	
GCA_015712075.1	23494828	GCF_015712075.1	23516398	
GCA_900407765.1	6775488	GCF_900407765.1	6839758	
GCA_002986175.1	6193668	GCF_002986175.1	6231138	
GCA_900407545.1	6774908	GCF_900407545.1	6836498	
GCA_002986245.1	6193918	GCF_002986245.1	6230458	
GCA_002988335.1	6197088	GCF_002988335.1	6231078	
GCA_002989845.1	6198828	GCF_002989845.1	6231818	
GCA_001184695.1	2025848	GCF_001184695.1	2222158	
GCA_007896985.1	13088008	GCF_007896985.1	13186028	
GCA_000833915.1	1526288	GCF_000833915.1	1529728	
GCA_026155905.1	37362008	GCF_026155905.1	37421938	
GCA_900407945.1	6773928	GCF_900407945.1	6836918	
GCA_002987275.1	6195628	GCF_002987275.1	6230278	
GCA_012103175.1	18478178	GCF_012103175.1	18543538	
GCA_002985525.1	6192748	GCF_002985525.1	6229698	
GCA_900408045.1	6774228	GCF_900408045.1	6838858	
GCA_900407445.1	6774828	GCF_900407445.1	6835878	
GCA_003494415.1	7324268	GCF_003494415.1	7417228	
GCA_026158645.1	37364748	GCF_026158645.1	37421798	
GCA_001184475.1	2025638	GCF_001184475.1	2210488	
GCA_002989365.1	6198138	GCF_002989365.1	6231478	
GCA_002987085.1	6195318	GCF_002987085.1	6229898	
GCA_002990565.1	6199938	GCF_002990565.1	6233908	
GCA_900408195.1	6774508	GCF_900408195.1	6838378	
GCA_900408185.1	6774548	GCF_900408185.1	6836958	
GCA_900407895.1	6773848	GCF_900407895.1	6837518	
GCA_003414125.1	7122318	GCF_003414125.1	7215498	
GCA_002987645.1	6196178	GCF_002987645.1	6231218	
GCA_003203155.1	6618198	GCF_003203155.1	6647208	
GCA_900407375.1	6774628	GCF_900407375.1	6836178	
GCA_001997355.1	4125738	GCF_001997355.1	4151238	
GCA_900407515.1	6774868	GCF_900407515.1	6837318	
GCA_900407585.1	6775048	GCF_900407585.1	6836998	
GCA_003415165.2	33092428	GCF_003415165.2	33205768	
GCA_003415495.2	33092488	GCF_003415495.2	33206008	
GCA_002991135.1	6200748	GCF_002991135.1	6232968	
GCA_003415275.2	33092388	GCF_003415275.2	33206088	
GCA_900044735.1	2970798	GCF_900044735.1	3062788	
GCA_900407575.1	6775108	GCF_900407575.1	6836338	
GCA_002985245.1	6192478	GCF_002985245.1	6229518	
GCA_002988495.1	6197258	GCF_002988495.1	6231298	
GCA_002093275.1	4375638	GCF_002093275.1	4394808	
GCA_002985805.1	6193028	GCF_002985805.1	6229228	
GCA_026155805.1	37361908	GCF_026155805.1	37421738	
GCA_003415285.1	7123478	GCF_003415285.1	7215958	
GCA_002986385.1	6194028	GCF_002986385.1	6230298	
GCA_000833755.1	1526148	GCF_000833755.1	1529888	
GCA_900408145.1	6774408	GCF_900408145.1	6836098	
GCA_900022525.1	3029298	GCF_900022525.1	3119028	
GCA_002985425.1	6192648	GCF_002985425.1	6229338	
GCA_003414325.1	7122508	GCF_003414325.1	7214078	
GCA_001184485.1	2025648	GCF_001184485.1	2210868	
GCA_900407975.1	6774168	GCF_900407975.1	6839818	
GCA_026158605.1	37364708	GCF_026158605.1	37421698	
GCA_003415195.1	7123358	GCF_003415195.1	7214838	
GCA_002991085.1	6200738	GCF_002991085.1	6232478	
GCA_000833935.1	1526308	GCF_000833935.1	1529528	
GCA_021391235.1	30846718	GCF_021391235.1	30857518	
GCA_002093205.1	4375548	GCF_002093205.1	4394948	
GCA_002983925.1	6191158	GCF_002983925.1	6227638	
GCA_030554815.1	45839058	GCF_030554815.1	46230848	
GCA_030554875.1	45839118	GCF_030554875.1	46251188	
GCA_002985745.1	6192968	GCF_002985745.1	6229658	
GCA_002985895.1	6193218	GCF_002985895.1	6254768	
GCA_002985585.1	6192808	GCF_002985585.1	6230078	
GCA_001184515.1	2025668	GCF_001184515.1	2220838	
GCA_002990825.1	6200308	GCF_002990825.1	6232688	
GCA_001184705.1	2025868	GCF_001184705.1	2211108	
GCA_002985785.1	6193008	GCF_002985785.1	6230178	
GCA_017871715.1	26145518	GCF_017871715.1	26173668	
GCA_002915495.1	5988058	GCF_002915495.1	5997928	
GCA_003203215.1	6618258	GCF_003203215.1	6647288	
GCA_002987315.1	6195668	GCF_002987315.1	6230098	
GCA_900407925.1	6774048	GCF_900407925.1	6837378	
GCA_002984185.1	6191428	GCF_002984185.1	6228218	
GCA_002990135.1	6199278	GCF_002990135.1	6234198	
GCA_002985345.1	6192568	GCF_002985345.1	6228938	
GCA_007897155.1	13088188	GCF_007897155.1	13183988	
GCA_000833855.1	1526228	GCF_000833855.1	1529908	
GCA_002988995.1	6197758	GCF_002988995.1	6231318	
GCA_002991445.1	6201018	GCF_002991445.1	6233038	
GCA_017871735.1	26145538	GCF_017871735.1	26174568	
GCA_002985045.1	6192268	GCF_002985045.1	6228518	
GCA_001059185.1	1871568	GCF_001059185.1	2000958	
GCA_002988465.1	6197228	GCF_002988465.1	6231118	
GCA_002989545.1	6198328	GCF_002989545.1	6232558	
GCA_002991265.1	6200828	GCF_002991265.1	6231538	
GCA_003414705.1	7122928	GCF_003414705.1	7215698	
GCA_900407605.1	6775088	GCF_900407605.1	6835578	
GCA_002989695.1	6198678	GCF_002989695.1	6234418	
GCA_002989615.1	6198378	GCF_002989615.1	6231698	
GCA_001298185.1	2343418	GCF_001298185.1	2375668	
GCA_007897005.1	13088068	GCF_007897005.1	13183788	
GCA_900407385.1	6774608	GCF_900407385.1	6838418	
GCA_003203075.1	6618118	GCF_003203075.1	6647328	
GCA_003414715.1	7122878	GCF_003414715.1	7215758	
GCA_002989715.1	6198618	GCF_002989715.1	6234128	
GCA_002989765.1	6198738	GCF_002989765.1	6233178	
GCA_002984745.1	6191978	GCF_002984745.1	6227538	
GCA_003415415.1	7123638	GCF_003415415.1	7216098	
GCA_003203175.1	6618218	GCF_003203175.1	6647388	
GCA_900407965.1	6773968	GCF_900407965.1	6837258	
GCA_002917845.1	5990408	GCF_002917845.1	5999208	
GCA_002986595.1	6194368	GCF_002986595.1	6230538	
GCA_002989105.1	6197868	GCF_002989105.1	6230718	
GCA_002989395.1	6198148	GCF_002989395.1	6232498	
GCA_002991385.1	6200948	GCF_002991385.1	6232828	
GCA_003203035.1	6618078	GCF_003203035.1	6647548	
GCA_900407655.1	6775208	GCF_900407655.1	6836438	
GCA_002989435.1	6198208	GCF_002989435.1	6231898	
GCA_002984455.1	6191688	GCF_002984455.1	6228318	
GCA_002984355.1	6191588	GCF_002984355.1	6228638	
GCA_001184655.1	2025828	GCF_001184655.1	2210008	
GCA_029268765.1	41539018	GCF_029268765.1	41541078	
GCA_002989275.1	6198048	GCF_002989275.1	6232398	
GCA_900407815.1	6773768	GCF_900407815.1	6835598	
GCA_002985845.1	6193098	GCF_002985845.1	6229478	
GCA_001058575.1	1870958	GCF_001058575.1	2016338	
GCA_900408135.1	6774388	GCF_900408135.1	6836538	
GCA_002988975.1	6197728	GCF_002988975.1	6231158	
GCA_021390955.1	30846438	GCF_021390955.1	30856978	
GCA_030554755.1	45838998	GCF_030554755.1	46250458	
GCA_002985505.1	6192728	GCF_002985505.1	6229718	
GCA_000833835.1	1526208	GCF_000833835.1	1529778	
GCA_900407525.1	6774968	GCF_900407525.1	6837658	
GCA_002983945.1	6191168	GCF_002983945.1	6227558	
GCA_002988295.1	6197048	GCF_002988295.1	6229938	
GCA_002990165.1	6199338	GCF_002990165.1	6231958	
GCA_003203095.1	6618138	GCF_003203095.1	6648238	
GCA_002988255.1	6197028	GCF_002988255.1	6230578	
GCA_002988835.1	6197588	GCF_002988835.1	6230758	
GCA_000833735.1	1526128	GCF_000833735.1	1529668	
GCA_001055565.1	1867958	GCF_001055565.1	2016778	
GCA_002985225.1	6192448	GCF_002985225.1	6229258	
GCA_002990785.1	6200208	GCF_002990785.1	6231918	
GCA_021390995.1	30846478	GCF_021390995.1	30856638	
GCA_021391095.1	30846578	GCF_021391095.1	30856658	
GCA_021391115.1	30846598	GCF_021391115.1	30857398	
GCA_002990655.1	6200058	GCF_002990655.1	6231498	
GCA_021391055.1	30846538	GCF_021391055.1	30856998	
GCA_021391075.1	30846558	GCF_021391075.1	30857038	
GCA_002984165.1	6191418	GCF_002984165.1	6228458	
GCA_002988665.1	6197418	GCF_002988665.1	6230958	
GCA_002990445.1	6199758	GCF_002990445.1	6233238	
GCA_002985615.1	6192858	GCF_002985615.1	6230418	
GCA_002990905.1	6200378	GCF_002990905.1	6231638	
GCA_021391215.1	30846698	GCF_021391215.1	30857478	
GCA_003203255.1	6618298	GCF_003203255.1	6647808	
GCA_004327565.1	8707578	GCF_004327565.1	8715318	
GCA_001184545.1	2025698	GCF_001184545.1	2210908	
GCA_002990205.1	6199398	GCF_002990205.1	6234258	
GCA_002984445.1	6191698	GCF_002984445.1	6228598	
GCA_002990065.1	6199158	GCF_002990065.1	6234578	
GCA_021391015.1	30846498	GCF_021391015.1	30857198	
GCA_002917855.1	5990428	GCF_002917855.1	5999688	
GCA_002984785.1	6192008	GCF_002984785.1	6227958	
GCA_002988595.1	6197348	GCF_002988595.1	6253928	
GCA_002985265.1	6192488	GCF_002985265.1	6228858	
GCA_002984705.1	6191928	GCF_002984705.1	6227798	
GCA_900407465.1	6774748	GCF_900407465.1	6839318	
GCA_002985955.1	6193328	GCF_002985955.1	6229158	
GCA_002984665.1	6191898	GCF_002984665.1	6227478	
GCA_002984505.1	6191738	GCF_002984505.1	6228698	
GCA_002990005.1	6199068	GCF_002990005.1	6234328	
GCA_002989575.1	6198348	GCF_002989575.1	6234618	
GCA_002990405.1	6199698	GCF_002990405.1	6231738	
GCA_002987175.1	6195348	GCF_002987175.1	6230378	
GCA_900407785.1	6775408	GCF_900407785.1	6835798	
GCA_002985125.1	6192328	GCF_002985125.1	6228958	
GCA_002987925.1	6196858	GCF_002987925.1	6230518	
GCA_002990315.1	6199518	GCF_002990315.1	6234598	
GCA_001059125.1	1871498	GCF_001059125.1	2017258	
